,VBTLX,VTABX,VTIAX,VTSAX,VTAPX,VBIAX,VFIAX,VIMAX,VSMAX,VDE,VAW,VIS,VPU,VHT,VFH,VDC,VCR,VGT,VOX,VNQ
VAW,0.19465258583667752,0.0508993545243725,0.7547746365996788,0.8111695968674898,0.0879240034373237,0.7820427383210468,0.787186619688514,0.887210507432906,0.8829566435285192,0.5800194236970037,1.0,0.8670427031412218,0.5096147341212082,0.6581420543128442,0.7851543573663465,0.5526362811499722,0.7560256094837879,0.6405983952264966,0.640227744684059,0.7168394341658113
VIS,0.12346793715736025,0.009099258986375673,0.7135968755847932,0.8948730467450422,0.029904323631286756,0.8414674211047002,0.8710836280538973,0.947403435536129,0.9314191911334121,0.591874688006462,0.8670427031412218,1.0,0.4717469391421881,0.6390034560292298,0.8560127277347559,0.4834355257882248,0.8180637321774217,0.7566071672499792,0.7174811799786468,0.6662854229366785
VPU,0.33460843706920346,0.19503894195256835,0.4196968299894752,0.4095774198770608,0.19411145910896666,0.4484423551618439,0.39677451527339713,0.5607841672886661,0.4664092269933715,0.3607441726287285,0.5096147341212082,0.4717469391421881,1.0,0.46008098047334295,0.49251257432997947,0.5757791893430074,0.3309635446394443,0.21633974911824566,0.28369760205255606,0.6534730447269671
VHT,0.2186000099064489,0.025921201181404178,0.5635908648389493,0.6411679762583197,0.044443035025911626,0.6393303140552719,0.6308533709791545,0.6931256886705809,0.646275239283028,0.3646434151207026,0.6581420543128442,0.6390034560292298,0.46008098047334295,1.0,0.6262911190753967,0.6040736668312432,0.5418601448694393,0.4451818460242751,0.4841173871200926,0.6416600049092961
VFH,0.09480391485491095,0.0038126461823882883,0.6277550684325733,0.8287210003631039,0.025023973167663537,0.7768517812813609,0.8074090103517412,0.8823516398844597,0.8571972938423749,0.585813298973856,0.7851543573663465,0.8560127277347559,0.49251257432997947,0.6262911190753967,1.0,0.5254666939922454,0.748950445979386,0.6287092861909642,0.6756774608531287,0.6417491274373182
VDC,0.23089422539961973,0.11848927154969621,0.4383091594644484,0.4737735879509099,0.10305533039933543,0.4902412184296506,0.47155304176602497,0.5589057186542413,0.4696871168058903,0.2686119237062772,0.5526362811499722,0.4834355257882248,0.5757791893430074,0.6040736668312432,0.5254666939922454,1.0,0.4438290363159185,0.24736711042979445,0.36254461078583705,0.6237308288129606
VCR,0.14339490924988804,0.031497851088695496,0.6726235952615862,0.9033437111486313,0.032413681157734534,0.8545451281467618,0.8916525000725719,0.84826652485596,0.8590180149049903,0.439224849049701,0.7560256094837879,0.8180637321774217,0.3309635446394443,0.5418601448694393,0.748950445979386,0.4438290363159185,1.0,0.8052003331143418,0.8027992941425497,0.5867503202321184
VGT,0.05374637800242829,-0.05444495316742008,0.677743888376683,0.9227420528352342,-0.027519924879140196,0.8516068680130218,0.9312433207633046,0.7750616297268352,0.7498266473771718,0.3959671489850323,0.6405983952264966,0.7566071672499792,0.21633974911824566,0.4451818460242751,0.6287092861909642,0.24736711042979445,0.8052003331143418,1.0,0.7829759108728351,0.40305597135471816
VOX,0.07613509083091188,-0.04581523833490057,0.6451404670157302,0.8590225516388044,0.008284252002031608,0.7990398101978469,0.8602262363413778,0.7565649528488685,0.7314917748992504,0.4028167967496866,0.640227744684059,0.7174811799786468,0.28369760205255606,0.4841173871200926,0.6756774608531287,0.36254461078583705,0.8027992941425497,0.7829759108728351,1.0,0.46703371595639526
VNQ,0.4547568302143357,0.2663465383715288,0.5899375581082641,0.6078285864533037,0.23959451338459378,0.6435435642163472,0.5800376743250353,0.7530810343871689,0.7239879896472807,0.387190221869751,0.7168394341658113,0.6662854229366785,0.6534730447269671,0.6416600049092961,0.6417491274373182,0.6237308288129606,0.5867503202321184,0.40305597135471816,0.46703371595639526,1.0
